Date,Confirmed,Recovered,Deceased,Active,,
21-Aug,173088,,,,,
22-Aug,173164,,,,,
23-Aug,173221,,,,,
24-Aug,173357,,,,,
25-Aug,173434,,,,,
26-Aug,173526,,,,,
27-Aug,173606,,,,,
28-Aug,173717,,,,,
29-Aug,173791,,,,,
30-Aug,173850,,,,,
31-Aug,173955,,,,,
01-Sep,174050,,,,,
02-Sep,174146,,,,,
03-Sep,174250,,,,,
04-Sep,174347,,,,,
05-Sep,174419,,,,,
06-Sep,174486,,,,,
07-Sep,174560,,,,,
08-Sep,174646,,,,,
09-Sep,174725,,,,,
10-Sep,174770,,,,,
11-Sep,174799,,,,,
12-Sep,174837,,,,,
13-Sep,174891,,,,,
14-Sep,175000,,,,,
15-Sep,175088,,,,,
16-Sep,175183,,,,,
17-Sep,175291,,,,,
18-Sep,175414,,,,,
19-Sep,175498,,,,,
20-Sep,175583,,,,,
21-Sep,175690,,,,,
22-Sep,175792,,,,,
23-Sep,175872,,,,,
24-Sep,175956,,,,,
25-Sep,176021,,,,,
26-Sep,176095,,,,,
27-Sep,176145,,,,,
28-Sep,176235,,,,,
29-Sep,176318,,,,,
30-Sep,176431,,,,,
01-Oct,176515,,,,,
02-Oct,176594,,,,,
03-Oct,176638,,,,,
04-Oct,176681,,,,,
05-Oct,176767,,,,,
06-Oct,176864,,,,,
07-Oct,176924,,,,,
08-Oct,176980,,,,,
09-Oct,177040,,,,,
10-Oct,177113,,,,,
11-Oct,177148,,,,,
12-Oct,177228,,,,,
13-Oct,177288,,,,,
14-Oct,177356,,,,,
15-Oct,177410,,,,,
16-Oct,177462,,,,,
17-Oct,177522,,,,,
18-Oct,177579,,,,,
19-Oct,177659,,,,,
20-Oct,177706,,,,,
21-Oct,177765,,,,,
22-Oct,177819,,,,,
23-Oct,177852,,,,,
24-Oct,177886,,,,,
25-Oct,177915,,,,,
26-Oct,177946,,,,,
27-Oct,177969,,,,,
28-Oct,178016,,,,,
29-Oct,178063,,,,,
30-Oct,178085,,,,,
31-Oct,178108,,,,,
